"Daily Sales"
"Store","#","Sales","Last Sat to 15:32","Sales Ratio vs. LW","Cust","Transaction Ratio vs. LW","Units","Units Ratio vs. LW","Factor","Productivity"
"All Stores","64948577","12471.60","11260.48","110.76","1124.00","101.44","1369.00","104.98","N/A","5.80"
"Paddington London","30324","815.41","874.78","93.21","85.00","103.66","104.00","97.20","£5.63","4.91"
"London, EN","30430","633.17","487.88","129.78","68.00","109.68","80.00","125.00","£6.04","3.10"
"London, EN","33886","514.40","854.65","60.19","49.00","56.32","60.00","60.61","£5.96","4.69"
"London, England","33886-1","575.59","577.92","99.60","65.00","94.20","69.00","93.24","£7.53","5.26"
"London, EN","35277","604.33","708.41","85.31","64.00","80.00","73.00","83.91","£5.87","5.13"
"London EN 35396","35396","894.77","1105.82","80.91","93.00","92.08","107.00","84.25","£6.37","4.91"
"London, EN","40876","4715.38","3137.71","150.28","291.00","119.26","418.00","135.71","£9.10","8.37"
", ","40876-1","0.00","0.00","N/A","0.00","N/A","0.00","N/A","N/A","N/A"
"London, EN","43022","1056.58","1030.41","102.54","119.00","113.33","133.00","107.26","£6.15","5.53"
"beckton, EN","45637","883.11","805.93","109.58","86.00","97.73","109.00","102.83","£5.65","7.30"
" Borough High Street London,","58205","851.10","708.40","120.14","98.00","124.05","105.00","117.98","£6.63","5.77"
", ","70968","561.35","518.40","108.29","70.00","107.69","72.00","107.46","£5.41","5.92"
"London, England","70968-1","366.41","450.17","81.39","36.00","78.26","39.00","75.00","£6.15","4.94"
"Open Stores","64948576","12471.60","11260.48","110.76","1124.00","101.44","1369.00","104.98","N/A","5.80"
"Paddington London","30324","815.41","874.78","93.21","85.00","103.66","104.00","97.20","£5.63","4.91"
"London, EN","30430","633.17","487.88","129.78","68.00","109.68","80.00","125.00","£6.04","3.10"
"London, EN","33886","514.40","854.65","60.19","49.00","56.32","60.00","60.61","£5.96","4.69"
"London, England","33886-1","575.59","577.92","99.60","65.00","94.20","69.00","93.24","£7.53","5.26"
"London, EN","35277","604.33","708.41","85.31","64.00","80.00","73.00","83.91","£5.87","5.13"
"London EN 35396","35396","894.77","1105.82","80.91","93.00","92.08","107.00","84.25","£6.37","4.91"
"London, EN","40876","4715.38","3137.71","150.28","291.00","119.26","418.00","135.71","£9.10","8.37"
", ","40876-1","0.00","0.00","N/A","0.00","N/A","0.00","N/A","N/A","N/A"
"London, EN","43022","1056.58","1030.41","102.54","119.00","113.33","133.00","107.26","£6.15","5.53"
"beckton, EN","45637","883.11","805.93","109.58","86.00","97.73","109.00","102.83","£5.65","7.30"
" Borough High Street London,","58205","851.10","708.40","120.14","98.00","124.05","105.00","117.98","£6.63","5.77"
", ","70968","561.35","518.40","108.29","70.00","107.69","72.00","107.46","£5.41","5.92"
"London, England","70968-1","366.41","450.17","81.39","36.00","78.26","39.00","75.00","£6.15","4.94"

